NAME,LOCATION_CLEAN,CUISINES,PRIMARY_CUISINE,PRIMARY_REST_TYPE,RATE,VOTES,APPROX_COST_FOR_TWO_PEOPLE,BOOK_TABLE,ONLINE_ORDER
Cafe Daily Bread,Bellandur,"Bakery, Fast Food, Italian",Bakery,Bakery,3.7,128,600.0,False,False
Fruit Face,Indiranagar,"Fast Food, Street Food, Beverages",Fast Food,Quick Bites,3.7,24,300.0,False,True
Albert Bakery,Frazer Town,"Bakery, Fast Food",Bakery,Bakery,4.3,346,150.0,False,False
Panchavati Gaurav Thali,Brigade Road,"Rajasthani, Gujarati",Rajasthani,Casual Dining,4.0,930,800.0,True,False
Hot 'N' Fresh,Electronic City,Fast Food,Fast Food,Quick Bites,3.5,8,250.0,False,False
Kabab Magic,HSR,"North Indian, Kebab, Fast Food",North Indian,Quick Bites,3.1,283,500.0,False,True
Kerala Kitchen,Brigade Road,"Kerala, South Indian",Kerala,Quick Bites,3.2,33,200.0,False,True
The Coorg Food Co.,Kalyan Nagar,South Indian,South Indian,Casual Dining,4.3,482,750.0,True,True
Village - The Soul of India,Sarjapur Road,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",North Indian,Casual Dining,3.9,1228,1100.0,False,False
Gramin,Koramangala 7th Block,North Indian,North Indian,Casual Dining,4.3,3468,600.0,False,True
MiniMelts,Brigade Road,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,3.9,66,200.0,False,False
Midnight Hunger Solutions 24/7,Sanjay Nagar,"North Indian, Mughlai, Chinese",North Indian,Delivery,3.0,10,500.0,False,False
New Golden Emperor,Yeshwantpur,"North Indian, Chinese, Fast Food",North Indian,Quick Bites,3.7,229,400.0,False,True
Cream & Fudge,Nagawara,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,3.1,6,250.0,False,True
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,4.1,201,300.0,False,True
Mast Biryani - Fresh Indian Kitchen,Bellandur,"Biryani, North Indian, Mughlai, Fast Food",Biryani,Takeaway,3.2,4,500.0,False,False
Milano Ice Cream,Indiranagar,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,4.9,2090,400.0,False,False
The Rice Bowl,Lavelle Road,"Chinese, Momos",Chinese,Casual Dining,4.3,512,1300.0,True,True
Gogula's Sweets & Chats,BTM,"Mithai, Street Food, Fast Food",Mithai,Sweet Shop,4.0,221,200.0,False,True
Momo Jojo,JP Nagar,"Chinese, Tibetan, Momos",Chinese,Quick Bites,4.3,539,300.0,False,True
Chulha Chauki Da Dhaba,Marathahalli,North Indian,North Indian,Casual Dining,4.1,426,1000.0,False,True
Nutripress,Koramangala 8th Block,Juices,Juices,Beverage Shop,3.3,4,200.0,False,True
Momo Jojo,BTM,"Chinese, Tibetan, Momos",Chinese,Quick Bites,3.4,6,300.0,False,True
Sweet Truth,Whitefield,"Bakery, Desserts",Bakery,Delivery,3.8,25,500.0,False,True
Pathumma`s Kitchen,Electronic City,North Indian,North Indian,Quick Bites,3.2,7,200.0,False,False
Soup N Grill,Whitefield,"Chinese, North Indian",Chinese,Casual Dining,3.5,14,600.0,False,False
Tasty Bites,Banashankari,"Fast Food, Pizza",Fast Food,Quick Bites,3.7,21,150.0,False,False
Wow Vada Pav,Bannerghatta Road,"Fast Food, Street Food",Fast Food,Quick Bites,3.3,11,150.0,False,False
Muthashy's,BTM,"Kerala, South Indian, Chinese",Kerala,Quick Bites,4.2,472,400.0,False,True
The Colony Gastropub,HSR,"Modern Indian, Continental",Modern Indian,Casual Dining,4.1,512,1200.0,True,False
Dum & Oven,HSR,"North Indian, Hyderabadi, Continental",North Indian,Casual Dining,3.7,29,600.0,False,False
Sri Vasavi Restaurant,Bellandur,"Chinese, Biryani",Chinese,Quick Bites,3.6,30,250.0,False,False
Chowpatty,Indiranagar,"North Indian, Fast Food, Street Food",North Indian,Quick Bites,3.9,929,300.0,False,True
Phobidden Fruit,Indiranagar,"Vietnamese, Salad",Vietnamese,Casual Dining,4.4,2950,1100.0,False,False
Cafeteria Al - Falah,Banaswadi,"Fast Food, North Indian",Fast Food,Quick Bites,3.3,5,300.0,False,False
Panther Cafe,BTM,Beverages,Beverages,Beverage Shop,3.5,8,200.0,False,True
Foodmazic,Kaggadasapura,"BBQ, Beverages, Burger, Rolls, Tea",BBQ,Quick Bites,3.7,17,200.0,False,False
Davanagere Benne Dosa,Yeshwantpur,South Indian,South Indian,Quick Bites,3.3,4,100.0,False,False
Azimmo Treat,HSR,"North Indian, Chinese",North Indian,Casual Dining,3.8,43,700.0,False,True
Hakuna Matata,JP Nagar,"North Indian, Asian, Seafood, Chinese",North Indian,Casual Dining,4.5,2800,1200.0,False,False
Uppercut - Sheraton Grand Bengaluru Whitefield Hotel...,Whitefield,BBQ,BBQ,Casual Dining,4.3,400,2000.0,True,False
M.M Restaurant,HSR,"Chinese, North Indian, Biryani",Chinese,Casual Dining,3.9,185,600.0,False,True
Sagar,Vijay Nagar,"South Indian, North Indian, Chinese",South Indian,Casual Dining,3.6,101,500.0,False,False
Bangalore Agarwal Bhavan,Electronic City,"North Indian, Street Food, Mithai, Chinese",North Indian,Quick Bites,3.6,20,500.0,False,True
Somilan Steak House,Church Street,"North Eastern, Asian, Naga, Steak, Momos",North Eastern,Casual Dining,4.3,544,800.0,False,False
Chai Point,Whitefield,"Tea, Beverages, Fast Food",Tea,Beverage Shop,3.8,90,250.0,False,True
Breezy Cow Bar,Kaggadasapura,Beverages,Beverages,Beverage Shop,3.8,25,400.0,False,True
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",Cafe,Cafe,4.1,216,500.0,False,True
I Cool,JP Nagar,"Juices, Fast Food",Juices,Quick Bites,4.0,77,150.0,False,True
Lassi,Marathahalli,"Beverages, Juices, Ice Cream, Sandwich, Fast Food",Beverages,Beverage Shop,3.3,16,200.0,False,True
The Hungers Zone,BTM,"Fast Food, Italian, Pizza",Fast Food,Quick Bites,3.8,57,300.0,False,True
The Bahubali,Marathahalli,"North Indian, Chinese",North Indian,Casual Dining,3.4,153,800.0,True,True
Frozen Bottle,Basaveshwara Nagar,"Beverages, Desserts",Beverages,Beverage Shop,3.8,18,400.0,False,True
Rotti Mane,Indiranagar,South Indian,South Indian,Quick Bites,3.6,21,200.0,False,True
Peacock,Indiranagar,"North Indian, BBQ, Mughlai",North Indian,Casual Dining,4.0,863,1200.0,True,True
Pancuzzi,JP Nagar,"Cafe, Beverages, Desserts",Cafe,Cafe,4.2,171,600.0,False,True
D'Cafe,Domlur,"Cafe, Coffee, Continental",Cafe,Cafe,3.8,18,500.0,False,True
Imperio Restaurant,Whitefield,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",North Indian,Casual Dining,4.4,2382,700.0,True,True
Special Biriyani,JP Nagar,"North Indian, Biryani",North Indian,Quick Bites,2.9,4,300.0,False,False
Samosa Singh,Marathahalli,"Street Food, Fast Food, Rolls, Desserts",Street Food,Quick Bites,4.0,244,200.0,False,True
New Gowda's Fried Chicken,Banashankari,Biryani,Biryani,Quick Bites,3.3,12,300.0,False,True
Howlin Wolf,HSR,"Italian, Mediterranean, European, Sandwich",Italian,Casual Dining,4.0,94,700.0,False,True
Biryani Junction,Bommanahalli,"Biryani, North Indian, Chinese",Biryani,Quick Bites,2.3,298,450.0,False,True
Malgudi's Donne Biriyani,Rajajinagar,Biryani,Biryani,Quick Bites,3.8,102,350.0,False,False
Cake Art,JP Nagar,Bakery,Bakery,Bakery,2.9,27,400.0,False,False
1947,Jayanagar,"North Indian, Chinese",North Indian,Casual Dining,4.1,2359,950.0,True,False
Yumlane,Brookefield,"Pizza, Fast Food",Pizza,Takeaway,2.9,25,200.0,False,True
Eatwell Restaurant,Sarjapur Road,"Biryani, Chinese, North Indian",Biryani,Quick Bites,3.0,8,400.0,False,True
Punjab Da Zaika,Marathahalli,North Indian,North Indian,Quick Bites,3.8,29,450.0,False,False
CAMP TANDOOR,Ulsoor,North Indian,North Indian,Quick Bites,3.7,16,300.0,False,True
Chick Inn,Rajajinagar,Fast Food,Fast Food,Quick Bites,3.8,99,300.0,False,True
Loca Moca,Frazer Town,"Cafe, Continental",Cafe,Cafe,2.9,45,600.0,False,False
Nandanam Restaurant,Electronic City,"North Indian, South Indian",North Indian,Takeaway,3.8,50,400.0,False,True
Nihas Hyderabadi Biryani,Nagawara,"Andhra, Chinese, North Indian, South Indian",Andhra,Quick Bites,3.2,17,300.0,False,True
Sethji Home Made Food,Indiranagar,North Indian,North Indian,Quick Bites,3.5,229,350.0,False,True
Urban Tamaasha,Indiranagar,"North Indian, Chinese, Continental",North Indian,Casual Dining,4.1,886,1200.0,True,True
Kolkata Kati Roll,Sahakara Nagar,Rolls,Rolls,Quick Bites,3.4,14,150.0,False,True
Empire Restaurant,HSR,"North Indian, Mughlai, South Indian, Chinese",North Indian,Casual Dining,3.9,3833,750.0,False,True
Mudde Madappa Mess,Majestic,South Indian,South Indian,Quick Bites,4.1,91,150.0,False,False
Bengaluru Square,Marathahalli,"Chinese, Beverages, Andhra",Chinese,Quick Bites,3.5,25,300.0,False,False
Kobe Sizzlers,Brigade Road,"American, Continental, Fast Food, Steak",American,Casual Dining,4.1,1136,1500.0,False,True
Mini Adiga's,BTM,"South Indian, North Indian, Chinese, Street Food, Juices",South Indian,Quick Bites,2.8,27,250.0,False,False
Popat,Indiranagar,North Indian,North Indian,Quick Bites,3.2,43,300.0,False,True
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",North Indian,Casual Dining,3.6,24,600.0,False,True
Sweet Truth,JP Nagar,"Bakery, Desserts",Bakery,Delivery,3.8,51,500.0,False,True
Rollin,Koramangala 4th Block,"Continental, Pizza, Chinese",Continental,Quick Bites,4.0,212,400.0,False,True
Beijing Bites,Banashankari,"Chinese, Thai",Chinese,Casual Dining,2.7,128,850.0,False,False
Biryani Darbar,Electronic City,"Biryani, Chinese",Biryani,Casual Dining,3.3,12,600.0,False,True
Shaadi Ki Biryani,Commercial Street,Biryani,Biryani,Casual Dining,2.8,303,500.0,False,True
Domino's Pizza,CV Raman Nagar,"Pizza, Fast Food",Pizza,Quick Bites,3.0,7,400.0,False,True
Apsara Ice Cream,JP Nagar,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,4.2,251,200.0,False,False
Shagun Sweets & Foods,BTM,"Mithai, North Indian, Street Food, Chinese",Mithai,Sweet Shop,3.6,223,400.0,False,True
The Early bell,Whitefield,"North Indian, Chinese",North Indian,Quick Bites,3.9,197,300.0,False,True
SGS Non Veg - Gundu Pulav,Malleshwaram,"Biryani, Fast Food",Biryani,Quick Bites,3.2,7,400.0,False,True
Pizza Hut,Church Street,"Pizza, Fast Food",Pizza,Casual Dining,3.7,39,750.0,False,True
Library Bar - The Leela Palace,Old Airport Road,Finger Food,Finger Food,Lounge,3.9,109,3000.0,False,False
Chandrappa Hotel,Yeshwantpur,"South Indian, North Indian, Chinese",South Indian,Quick Bites,4.2,253,450.0,False,True
Brundhavana Pure Veg,JP Nagar,"South Indian, North Indian, Chinese, Beverages",South Indian,Casual Dining,3.7,98,500.0,False,True
Happy Hours,Seshadripuram,"Cafe, Desserts",Cafe,Cafe,3.8,24,400.0,False,False
Sri Krishna Sagar,Koramangala 6th Block,South Indian,South Indian,Quick Bites,3.9,44,300.0,False,True
"3B's - Buddies, Bar & Barbecues",Marathahalli,"North Indian, Mediterranean, European, BBQ",North Indian,Casual Dining,4.5,1914,1100.0,True,False
Udupi Gokul Cafe,BTM,South Indian,South Indian,Quick Bites,3.8,58,300.0,False,False
Desi Bites,Nagawara,"Rajasthani, North Indian, Chinese",Rajasthani,Casual Dining,3.7,145,600.0,False,True
Sri Bhagya Grand,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food, Beverages",South Indian,Casual Dining,3.4,186,450.0,False,True
Kuttanadu,HSR,"Kerala, Chinese, Seafood, North Indian",Kerala,Casual Dining,2.8,261,700.0,False,True
Home Tiff-INN's,Sarjapur Road,"South Indian, Chettinad",South Indian,Quick Bites,3.6,18,250.0,False,False
The Studio Cafe,Jayanagar,"Cafe, Beverages",Cafe,Cafe,3.8,20,400.0,False,False
alt,Whitefield,Finger Food,Finger Food,Bar,4.1,821,1900.0,True,False
Calcutta North Indian Meals,Whitefield,North Indian,North Indian,Quick Bites,3.2,5,200.0,False,False
Lan Thai,New BEL Road,Thai,Thai,Casual Dining,4.0,66,800.0,False,False
Sri Venkateshwara Sweets Chats Juice Centre,HBR Layout,"Beverages, Juices, Street Food",Beverages,Beverage Shop,3.4,5,100.0,False,False
Tempteys,HSR,Beverages,Beverages,Beverage Shop,3.7,40,300.0,False,True
Karachi Bakery,Whitefield,"Bakery, Desserts",Bakery,Bakery,4.1,42,400.0,False,False
Paradise,Indiranagar,"Biryani, North Indian, Kebab",Biryani,Casual Dining,4.0,3268,800.0,False,True
MRS Paradise,Jayanagar,"South Indian, North Indian, Chinese",South Indian,Casual Dining,3.4,21,650.0,False,False
Kaizen Wellness Kitchen,JP Nagar,"Asian, Continental, European",Asian,Casual Dining,3.7,37,800.0,False,True
Biggies Burger 'n' More,Brookefield,"Cafe, Burger, Fast Food",Cafe,Quick Bites,4.0,298,400.0,False,True
Desi Khana,Whitefield,"North Indian, Chinese",North Indian,Quick Bites,3.3,10,300.0,False,True
Sutra Spice-The Resto Bar,Koramangala 4th Block,"South Indian, Andhra",South Indian,Bar,3.8,36,1000.0,False,False
Eat Well,Marathahalli,"North Indian, Chinese",North Indian,Delivery,3.0,39,400.0,False,True
Sweet Truth,Marathahalli,"Bakery, Desserts",Bakery,Delivery,4.0,55,500.0,False,True
Hotel Elite,Yeshwantpur,"North Indian, Chinese, South Indian, Juices",North Indian,Casual Dining,3.7,62,550.0,False,True
Delish Chinese Fast Food,Banaswadi,"Chinese, North Indian, Biryani",Chinese,Quick Bites,3.2,4,300.0,False,True
The Chameleon,Electronic City,Finger Food,Finger Food,Bar,4.1,163,1200.0,False,False
Karnataka Briyani point,Outer_Areas,"North Indian, Chinese",North Indian,Quick Bites,3.2,5,300.0,False,False
Mahjong Room - WelcomHotel Bengaluru,Richmond Road,Chinese,Chinese,Casual Dining,4.4,136,1200.0,True,False
REFUEL,Marathahalli,"Chinese, North Indian, Fast Food",Chinese,Takeaway,3.7,119,300.0,False,True
Mad Over Biryani,Koramangala 6th Block,"North Indian, Biryani",North Indian,Quick Bites,3.1,9,600.0,False,True
New Royal Paris Restaurant,Old Airport Road,"Chinese, Kerala, North Indian",Chinese,Quick Bites,3.4,14,300.0,False,False
Indian Paratha Factory,BTM,North Indian,North Indian,Quick Bites,2.9,24,250.0,False,True
BOX8- Desi Meals,Residency Road,"North Indian, Mughlai, Fast Food",North Indian,Takeaway,4.3,295,500.0,False,True
Namana Restaurant,Basaveshwara Nagar,"North Indian, Chinese, Mangalorean",North Indian,Quick Bites,3.7,30,300.0,False,False
Hyderabadi Biryani Hub,Bellandur,"Biryani, North Indian, Chinese",Biryani,Casual Dining,3.2,24,600.0,False,True
Chow San,Bannerghatta Road,"Chinese, Thai, Momos",Chinese,Quick Bites,3.1,122,500.0,False,True
Basveshwara Khaanavali,Electronic City,South Indian,South Indian,Quick Bites,3.5,15,150.0,False,False
Narmadha's Hyderabad Biriyani,BTM,"Biryani, Hyderabadi",Biryani,Casual Dining,3.9,207,600.0,False,False
Chriz Cafe,Sarjapur Road,"South Indian, Biryani",South Indian,Takeaway,3.5,11,400.0,False,True
Kaggis,Banashankari,"Fast Food, Bakery",Fast Food,Quick Bites,3.8,64,250.0,False,False
Pizza Hut,Brigade Road,"Pizza, Fast Food",Pizza,Casual Dining,3.8,390,750.0,False,True
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",Beverages,Beverage Shop,3.9,169,150.0,False,True
Tandoori Club,HSR,"North Indian, Chinese, Continental",North Indian,Casual Dining,3.8,32,750.0,False,True
Juice Shop,HSR,"Juices, Beverages, Ice Cream",Juices,Takeaway,3.7,16,150.0,False,True
Desi Dhaba,BTM,"North Indian, Chinese",North Indian,Delivery,3.3,13,400.0,False,True
Waffle Walle,Bannerghatta Road,"Desserts, Belgian, Beverages",Desserts,Kiosk,4.4,677,500.0,False,True
Cake House - Story Cafe,Kalyan Nagar,"Bakery, Desserts",Bakery,Quick Bites,3.8,79,650.0,False,False
Kalmane Koffees,Malleshwaram,Cafe,Cafe,Cafe,3.7,117,350.0,False,False
Crunch Pizzas - Express Delivery,Indiranagar,Pizza,Pizza,Delivery,3.0,239,500.0,False,True
Ovenstory Pizza,Old Airport Road,Pizza,Pizza,Delivery,4.0,108,800.0,False,True
Cupcake Bliss,Malleshwaram,Bakery,Bakery,Takeaway,3.7,4,200.0,False,True
Sanky's Burger House,Hennur,"Burger, Fast Food",Burger,Quick Bites,4.3,345,300.0,False,True
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",Biryani,Casual Dining,3.1,119,700.0,False,True
Royal Afghan - ITC Windsor,Sankey Road,"North Indian, Mughlai",North Indian,Fine Dining,4.3,413,5000.0,True,False
Rayan's Biryani,Marathahalli,"Andhra, Biryani, Beverages, Kebab",Andhra,Quick Bites,3.6,26,450.0,False,False
Richie Rich,Race Course Road,"Desserts, Beverages, Fast Food, Ice Cream",Desserts,Dessert Parlor,4.0,631,450.0,False,True
B & B The Pub,Basavanagudi,"Asian, Continental",Asian,Casual Dining,3.6,29,1000.0,False,False
Sri Lakshmi Vaibhav,Whitefield,"South Indian, North Indian, Chinese",South Indian,Casual Dining,4.0,160,500.0,False,True
Nandana Mess,Bellandur,"South Indian, Chinese",South Indian,Mess,3.3,8,350.0,False,False
Naina Nand Food Express,HBR Layout,"North Indian, Chinese",North Indian,Quick Bites,3.4,9,300.0,False,True
Curries & Chillies,Banaswadi,"Andhra, Biryani, Chinese",Andhra,Takeaway,3.3,19,300.0,False,True
Cafe Idly,Frazer Town,"South Indian, Fast Food",South Indian,Quick Bites,3.7,81,200.0,False,True
Kachori Kafe,HSR,"Street Food, Mithai, Desserts, North Indian",Street Food,Quick Bites,3.2,571,300.0,False,True
The 3 Musketeers,Whitefield,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,3.2,5,200.0,False,False
MK Dabbawala,Electronic City,North Indian,North Indian,Delivery,3.2,17,400.0,False,False
Bangalore Pub Exchange,MG Road,"Continental, Finger Food, Pizza, North Indian",Continental,Pub,4.2,228,1000.0,True,False
Faasos,Residency Road,"North Indian, Biryani, Fast Food",North Indian,Quick Bites,3.9,253,500.0,False,True
Amaravati Authentic Andhra Restaurant,Brookefield,"Andhra, Chinese, North Indian, Biryani",Andhra,Casual Dining,3.1,149,600.0,False,False
Star Food County,Sanjay Nagar,Fast Food,Fast Food,Kiosk,3.4,11,300.0,False,True
Hari Super Sandwich,Jayanagar,"Fast Food, Street Food",Fast Food,Quick Bites,4.1,163,200.0,False,False
Infinity Family Restaurant,Marathahalli,"North Indian, Chinese",North Indian,Casual Dining,3.6,46,500.0,False,True
Polar Bear,HSR,"Ice Cream, Desserts, Beverages, Sandwich",Ice Cream,Dessert Parlor,4.0,221,400.0,False,True
Al Barack Cafetaria,Banaswadi,Arabian,Arabian,Quick Bites,3.6,20,300.0,False,False
Rolls On Wheels,Whitefield,"Fast Food, Rolls, Momos",Fast Food,Quick Bites,3.1,76,300.0,False,False
The Biere Club,Lavelle Road,"Continental, BBQ, Finger Food",Continental,Pub,4.3,3498,1700.0,True,True
Krishna Kuteera South,Bannerghatta Road,"South Indian, North Indian, Chinese",South Indian,Casual Dining,4.0,117,500.0,False,True
Wheat House,HSR,"Kerala, South Indian, Fast Food",Kerala,Quick Bites,3.3,11,400.0,False,True
Ulavacharu,Koramangala 5th Block,"Andhra, North Indian, Chinese",Andhra,Casual Dining,4.2,153,900.0,True,True
Donne Biryani House,Rajajinagar,Biryani,Biryani,Quick Bites,3.5,46,300.0,False,False
Majaa Thindi,New BEL Road,South Indian,South Indian,Quick Bites,3.9,37,100.0,False,True
Big Pitcher,Old Airport Road,"American, Continental, North Indian, Mediterranean",American,Pub,4.6,9300,1800.0,True,False
Savera Cafe,Frazer Town,Fast Food,Fast Food,Quick Bites,3.5,11,200.0,False,False
Kevins Kitchen,Koramangala 6th Block,"North Indian, Chinese, Biryani",North Indian,Quick Bites,3.8,105,400.0,False,True
Cafesta,Whitefield,"Cafe, Italian, Fast Food, Desserts",Cafe,Cafe,4.3,590,550.0,False,True
Sri Durga Grand,Rajajinagar,"South Indian, Chinese",South Indian,Quick Bites,3.3,5,300.0,False,False
Healthie,Whitefield,"Healthy Food, Beverages",Healthy Food,Delivery,3.9,121,600.0,False,True
Tripura Express,Old Airport Road,"Pizza, Beverages",Pizza,Takeaway,3.0,168,450.0,False,True
KFC,Whitefield,"Burger, Fast Food",Burger,Food Court,3.9,167,450.0,False,True
Mughal Restaurant,Brookefield,"Mughlai, Chinese, Kerala",Mughlai,Casual Dining,3.3,218,600.0,False,True
Now Momos,Koramangala 7th Block,"Chinese, Fast Food, Momos",Chinese,Quick Bites,3.4,11,200.0,False,False
Domino's Pizza,Sarjapur Road,"Pizza, Fast Food",Pizza,Quick Bites,2.7,332,400.0,False,True
Rasapoorna,Nagawara,"Andhra, Chinese, North Indian",Andhra,Casual Dining,3.2,6,500.0,False,True
Umami & Beyond,Indiranagar,"Continental, Healthy Food, Beverages",Continental,Takeaway,3.7,24,400.0,False,True
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,BTM,"Biryani, North Indian",Biryani,Casual Dining,3.7,41,450.0,False,False
Four Seasons Fast Food,Malleshwaram,"North Indian, Chinese, Biryani",North Indian,Quick Bites,3.3,20,400.0,False,False
Chaiwala,Koramangala 1st Block,Fast Food,Fast Food,Quick Bites,3.1,54,100.0,False,True
InnerChef,Indiranagar,"North Indian, Continental",North Indian,Delivery,3.7,271,500.0,False,True
Pulp Juice Bar,HSR,"Beverages, Juices, Ice Cream",Beverages,Beverage Shop,3.6,16,150.0,False,True
Paradise,JP Nagar,"Biryani, North Indian, Kebab",Biryani,Casual Dining,4.0,1992,800.0,False,True
Biryani Junction,Bommanahalli,"Biryani, North Indian, Chinese",Biryani,Quick Bites,2.3,298,450.0,False,True
Sweet Truth,Sanjay Nagar,"Bakery, Desserts",Bakery,Delivery,3.9,20,500.0,False,True
Cravingz,Malleshwaram,"Fast Food, Beverages",Fast Food,Food Court,3.8,16,400.0,False,False
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",Fast Food,Quick Bites,3.9,152,300.0,False,True
Roll Over,JP Nagar,"Ice Cream, Beverages, Fast Food",Ice Cream,Dessert Parlor,4.1,240,500.0,False,True
Chinese Street,Marathahalli,Chinese,Chinese,Delivery,3.1,61,650.0,False,True
The 13th Floor,MG Road,"Asian, North Indian, Thai",Asian,Lounge,4.4,4616,1700.0,True,False
The Paratha Stories,Koramangala 1st Block,North Indian,North Indian,Delivery,3.3,38,400.0,False,True
Desi Breakk,Electronic City,North Indian,North Indian,Quick Bites,3.6,29,150.0,False,False
Naga's,Bannerghatta Road,"Hyderabadi, Andhra, North Indian",Hyderabadi,Food Court,2.7,20,500.0,False,False
Prakriti Delux,Rajajinagar,"North Indian, South Indian, Chinese",North Indian,Quick Bites,3.9,53,300.0,False,True
Excelsior Bakery,Shivajinagar,Bakery,Bakery,Bakery,3.6,15,100.0,False,False
Halli Mane MUDDE OOTA,JP Nagar,South Indian,South Indian,Quick Bites,3.5,14,300.0,False,True
Amchoor,Marathahalli,"North Indian, Beverages",North Indian,Quick Bites,3.8,38,250.0,False,True
Ibaco,Basavanagudi,Desserts,Desserts,Dessert Parlor,3.8,78,300.0,False,True
Corner House Ice Cream,Seshadripuram,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,4.4,406,400.0,False,True
Delhi Biryani Cafe,BTM,"North Indian, Biryani",North Indian,Quick Bites,3.4,10,250.0,False,True
Inhouse Burger,CV Raman Nagar,"Burger, Fast Food, Healthy Food, Beverages",Burger,Quick Bites,3.3,11,500.0,False,True
Sweet Chariot,Bannerghatta Road,"Bakery, Fast Food",Bakery,Dessert Parlor,2.8,25,500.0,False,True
Cafe Treat - The Pride Hotel,Richmond Road,"Continental, Asian, Italian",Continental,Casual Dining,4.1,119,1000.0,False,True
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",Beverages,Quick Bites,3.1,12,150.0,False,True
Nook - Aloft Bengaluru Cessna Business Park,Bellandur,"North Indian, Continental, Asian",North Indian,Casual Dining,4.2,411,1800.0,True,False
The Wicked Cup,HSR,"Cafe, Sandwich, Fast Food, Beverages, Desserts",Cafe,Cafe,3.9,56,350.0,False,False
Just Protein,Other_Broad_Areas,"Chinese, Fast Food",Chinese,Food Truck,3.4,5,350.0,False,False
